State,Percentage_pop_with_bachelors,Year,Av_temperature,Median_income,Elec_price,Key,perc_of_tot,Gdp_per_working_pop,Energy_per_working_pop,num_jobs_per_working_pop,charging_ports_per_w_pop,label
South Dakota,26.3,2010,43.4,56478.0,22.93,South Dakota2010,0.0,0.10247022198159177,1.0217244179750948,1.510923118570655,1.510923118570655,0
Tennessee,23.1,2010,57.4,48058.0,25.3,Tennessee2010,0.0,0.08541002617540837,0.7459948311851827,1.1649063980650078,1.1649063980650078,0
Texas,25.9,2010,65.5,58861.0,27.69,Texas2010,0.0,0.10128845387810845,0.9434775751762038,1.1594538699791075,1.1594538699791075,0
Utah,29.3,2010,48.2,70611.0,20.45,Utah2010,0.0,0.08903796518607443,0.5649894957983194,1.2160856842737096,1.2160856842737096,0
Vermont,33.6,2010,43.0,69648.0,38.81,Vermont2010,0.0,0.09470145127850725,0.5379958534899792,1.4281686247408432,1.4281686247408432,0
Virginia,34.2,2010,55.2,75176.0,25.48,Virginia2010,0.00014243322089654877,0.11028835623514827,0.6541055377621655,1.2251237214588284,1.2251237214588284,0
Washington,31.1,2010,46.9,69941.0,19.63,Washington2010,0.0,0.11135756504783377,0.6117524830906099,1.1490597769788558,1.1490597769788558,0
West Virginia,17.5,2010,51.8,53271.0,21.89,West Virginia2010,0.0,0.07821604645650627,0.8906589239156198,1.0659777198388243,1.0659777198388243,0
Wisconsin,26.3,2010,43.1,62703.0,28.76,Wisconsin2010,0.0,0.09473655238658193,0.6686127530663514,1.2658630116743017,1.2658630116743017,0
Wyoming,24.1,2010,40.8,65007.0,18.27,Wyoming2010,0.0,0.14128496437945257,2.02859392575928,1.443790776152981,1.443790776152981,0
Alabama,22.3,2011,62.8,51417.0,27.08,Alabama2011,0.0,0.08198849857346648,0.8545831847360913,1.1135578637660486,1.1135578637660486,0
Alaska,26.4,2011,7.0,69334.0,47.13,Alaska2011,0.0,0.16018102477477478,1.8046931306306306,1.2679166666666666,1.2679166666666666,0
Arizona,26.6,2011,60.3,58698.0,28.46,Arizona2011,0.0,0.08749981555384151,0.4952386062577551,1.0862352862269022,1.0862352862269022,0
Arkansas,20.3,2011,61.3,49862.0,22.02,Arkansas2011,0.0,0.07866138628588429,0.8411616837721255,1.1616450989141751,1.1616450989141751,0
California,30.3,2011,57.7,64428.0,38.35,California2011,0.0016701213435940641,0.10801735964682835,0.4084561551478399,1.0668827369735923,1.0668827369735923,0
Colorado,36.7,2011,46.0,70781.0,27.61,Colorado2011,0.0003335330825905737,0.10558317875044401,0.5835446185420531,1.2645845995974268,1.2645845995974268,0
Connecticut,36.2,2011,51.0,78973.0,47.91,Connecticut2011,0.0,0.13857872213967312,0.4419108469539376,1.311304011887073,1.311304011887073,0
Delaware,28.8,2011,56.4,65989.0,33.73,Delaware2011,0.0,0.14581183178902352,0.6787811831789023,1.2601568068424804,1.2601568068424804,0
